Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Creta,2008,1.85,3.55,77097,Petrol,Dealer,Automatic,0
Swift,2005,3.3,5.06,65990,Diesel,Individual,Manual,1
Creta,2023,7.11,9.12,6703,Electric,Individual,Automatic,0
Fortuner,2011,10.85,24.06,93236,Petrol,Individual,Automatic,2
Baleno,2013,13.07,20.76,196294,Electric,Dealer,Automatic,2
Baleno,2024,15.48,22.48,99800,Petrol,Dealer,Automatic,0
i20,2012,11.89,22.06,104647,Diesel,Individual,Automatic,0
WagonR,2013,13.35,18.44,184187,Diesel,Dealer,Manual,1
City,2017,6.65,8.94,172772,CNG,Dealer,Manual,0
WagonR,2015,5.98,11.83,22350,CNG,Dealer,Automatic,1
Ertiga,2019,3.21,6.14,41603,CNG,Individual,Automatic,1
Baleno,2012,16.33,24.94,41262,Petrol,Dealer,Manual,2
Fortuner,2010,14.26,20.43,115666,Electric,Individual,Automatic,2
Ertiga,2005,13.31,17.97,35029,CNG,Individual,Manual,1
Verna,2018,5.68,6.48,5850,Diesel,Dealer,Automatic,2
Creta,2021,9.63,16.4,45065,Petrol,Individual,Automatic,0
City,2008,12.18,23.44,85612,Petrol,Dealer,Automatic,0
Ertiga,2022,14.49,19.85,38657,Diesel,Individual,Automatic,0
Verna,2022,9.82,19.62,185844,Electric,Individual,Automatic,2
Swift,2019,2.45,5.66,63903,Diesel,Dealer,Manual,0
Baleno,2006,6.67,8.04,13234,Diesel,Individual,Automatic,0
City,2022,4.07,5.91,154695,Electric,Individual,Manual,0
Innova,2008,10.71,17.5,97876,Petrol,Dealer,Manual,1
City,2015,10.81,20.61,33644,Electric,Dealer,Automatic,0
Ertiga,2013,8.19,13.18,24761,Petrol,Dealer,Manual,0
Fortuner,2012,4.27,6.66,132307,Petrol,Dealer,Automatic,0
Ertiga,2017,4.79,8.83,124277,Electric,Dealer,Manual,1
Swift,2011,18.67,24.31,156828,CNG,Dealer,Manual,2
Ertiga,2020,6.73,14.06,144231,Petrol,Dealer,Manual,2
WagonR,2007,10.74,17.85,66657,Diesel,Dealer,Manual,1
City,2023,13.38,15.43,87934,CNG,Dealer,Automatic,1
Baleno,2009,11.18,17.78,83642,Petrol,Individual,Manual,0
i20,2022,3.59,7.69,74520,Petrol,Dealer,Automatic,1
WagonR,2010,9.5,12.64,147401,Petrol,Individual,Manual,0
Creta,2013,4.27,5.54,33058,CNG,Individual,Manual,2
Ertiga,2015,6.18,7.48,171261,Electric,Individual,Manual,0
Creta,2018,8.54,21.25,16557,CNG,Dealer,Automatic,2
Creta,2018,6.71,15.34,34327,Petrol,Individual,Manual,1
Swift,2009,3.33,3.92,100591,CNG,Dealer,Manual,2
Fortuner,2008,9.08,10.78,151770,Diesel,Dealer,Manual,0
Fortuner,2018,3.06,3.55,198085,Diesel,Individual,Manual,2
City,2008,9.47,11.42,15151,Diesel,Individual,Automatic,1
i20,2012,3.92,7.9,178023,CNG,Dealer,Automatic,1
Swift,2021,6.67,11.79,145565,Petrol,Individual,Manual,2
i20,2013,2.37,3.84,161387,Electric,Dealer,Automatic,2
Ertiga,2011,5.32,8.6,190803,Diesel,Individual,Automatic,0
Verna,2015,13.77,16.71,178903,CNG,Individual,Automatic,1
Fortuner,2014,9.28,15.2,55289,Diesel,Individual,Automatic,2
WagonR,2005,5.96,9.69,60098,CNG,Individual,Automatic,1
Baleno,2011,6.91,14.25,197927,CNG,Individual,Manual,0
Swift,2014,3.76,7.94,57200,Diesel,Individual,Manual,1
Fortuner,2018,11.19,22.5,155908,Electric,Individual,Manual,0
City,2005,17.87,22.64,32941,Diesel,Individual,Manual,2
Innova,2012,14.56,23.18,36813,CNG,Individual,Automatic,2
Innova,2019,18.89,22.74,199944,CNG,Dealer,Automatic,2
Verna,2020,10.41,16.79,76984,Diesel,Individual,Automatic,1
Creta,2022,2.46,4.77,44539,Diesel,Dealer,Automatic,1
Fortuner,2015,6.44,14.94,113992,Electric,Dealer,Automatic,1
Fortuner,2005,18.44,23.74,83279,Diesel,Individual,Manual,1
Fortuner,2018,7.77,13.68,106936,Diesel,Individual,Manual,2
Swift,2022,2.5,3.59,108290,Petrol,Individual,Manual,1
Innova,2010,2.32,4.11,104379,CNG,Individual,Automatic,1
Ertiga,2018,5.43,8.55,26471,Petrol,Individual,Manual,2
Swift,2007,8.48,20.19,175853,Diesel,Dealer,Manual,2
WagonR,2009,6.06,8.25,129141,Diesel,Individual,Automatic,1
Creta,2010,7.47,16.33,193313,CNG,Dealer,Manual,1
City,2023,10.71,17.9,103384,Petrol,Dealer,Manual,2
WagonR,2014,17.43,21.71,162394,Petrol,Individual,Automatic,2
Fortuner,2016,2.58,4.52,174749,Electric,Dealer,Automatic,1
Ertiga,2019,9.06,18.56,119160,CNG,Individual,Automatic,1
Baleno,2023,7.26,8.9,69355,CNG,Individual,Manual,1
Innova,2023,9.34,16.43,104349,CNG,Dealer,Automatic,0
WagonR,2016,11.09,20.55,94217,CNG,Dealer,Manual,0
City,2012,12.77,18.84,133077,Electric,Individual,Automatic,0
Verna,2007,7.06,9.47,111011,CNG,Individual,Automatic,1
Verna,2022,6.44,10.28,189249,CNG,Dealer,Manual,2
Creta,2011,6.64,9.94,199741,Diesel,Dealer,Automatic,1
Baleno,2023,17.1,24.49,142530,Diesel,Individual,Manual,1
Verna,2010,6.44,9.65,190602,Petrol,Dealer,Automatic,2
Swift,2009,7.69,17.03,133680,CNG,Individual,Automatic,1
Innova,2015,3.72,7.06,18468,Petrol,Dealer,Automatic,1
Creta,2007,6.7,15.69,184949,CNG,Dealer,Manual,0
WagonR,2022,13.84,19.82,163942,Diesel,Individual,Automatic,1
WagonR,2014,12.11,21.92,117415,Petrol,Dealer,Manual,2
Creta,2011,4.22,8.82,26282,Petrol,Dealer,Manual,1
City,2019,9.91,18.17,128184,CNG,Individual,Automatic,0
City,2012,16.21,23.33,168855,Electric,Dealer,Manual,2
Creta,2009,10.02,22.99,42286,CNG,Individual,Automatic,0
Verna,2019,10.91,18.15,188430,Electric,Individual,Manual,2
Verna,2006,12.67,22.57,197553,Petrol,Dealer,Manual,2
Verna,2023,14.32,15.92,10438,Petrol,Dealer,Automatic,2
Fortuner,2019,20.8,23.15,52576,Electric,Dealer,Automatic,1
Creta,2018,4.67,10.33,180671,CNG,Individual,Automatic,1
Baleno,2017,8.74,20.9,149204,CNG,Individual,Automatic,0
Ertiga,2017,16.06,22.03,5301,Electric,Individual,Manual,0
Swift,2021,7.81,10.96,135676,Diesel,Individual,Manual,1
