target,Present_Price,Kms_Driven,Fuel_Type,Transmission,Owner,car_age
1.85,3.55,77097,3,0,0,17
3.3,5.06,65990,1,1,1,20
7.11,9.12,6703,2,0,0,2
10.85,24.06,93236,3,0,2,14
13.07,20.76,196294,2,0,2,12
15.48,22.48,99800,3,0,0,1
11.89,22.06,104647,1,0,0,13
13.35,18.44,184187,1,1,1,12
6.65,8.94,172772,0,1,0,8
5.98,11.83,22350,0,0,1,10
3.21,6.14,41603,0,0,1,6
16.33,24.94,41262,3,1,2,13
14.26,20.43,115666,2,0,2,15
13.31,17.97,35029,0,1,1,20
5.68,6.48,5850,1,0,2,7
9.63,16.4,45065,3,0,0,4
12.18,23.44,85612,3,0,0,17
14.49,19.85,38657,1,0,0,3
9.82,19.62,185844,2,0,2,3
2.45,5.66,63903,1,1,0,6
6.67,8.04,13234,1,0,0,19
4.07,5.91,154695,2,1,0,3
10.71,17.5,97876,3,1,1,17
10.81,20.61,33644,2,0,0,10
8.19,13.18,24761,3,1,0,12
4.27,6.66,132307,3,0,0,13
4.79,8.83,124277,2,1,1,8
18.67,24.31,156828,0,1,2,14
6.73,14.06,144231,3,1,2,5
10.74,17.85,66657,1,1,1,18
13.38,15.43,87934,0,0,1,2
11.18,17.78,83642,3,1,0,16
3.59,7.69,74520,3,0,1,3
9.5,12.64,147401,3,1,0,15
4.27,5.54,33058,0,1,2,12
6.18,7.48,171261,2,1,0,10
8.54,21.25,16557,0,0,2,7
6.71,15.34,34327,3,1,1,7
3.33,3.92,100591,0,1,2,16
9.08,10.78,151770,1,1,0,17
3.06,3.55,198085,1,1,2,7
9.47,11.42,15151,1,0,1,17
3.92,7.9,178023,0,0,1,13
6.67,11.79,145565,3,1,2,4
2.37,3.84,161387,2,0,2,12
5.32,8.6,190803,1,0,0,14
13.77,16.71,178903,0,0,1,10
9.28,15.2,55289,1,0,2,11
5.96,9.69,60098,0,0,1,20
6.91,14.25,197927,0,1,0,14
3.76,7.94,57200,1,1,1,11
11.19,22.5,155908,2,1,0,7
17.87,22.64,32941,1,1,2,20
14.56,23.18,36813,0,0,2,13
18.89,22.74,199944,0,0,2,6
10.41,16.79,76984,1,0,1,5
2.46,4.77,44539,1,0,1,3
6.44,14.94,113992,2,0,1,10
18.44,23.74,83279,1,1,1,20
7.77,13.68,106936,1,1,2,7
2.5,3.59,108290,3,1,1,3
2.32,4.11,104379,0,0,1,15
5.43,8.55,26471,3,1,2,7
8.48,20.19,175853,1,1,2,18
6.06,8.25,129141,1,0,1,16
7.47,16.33,193313,0,1,1,15
10.71,17.9,103384,3,1,2,2
17.43,21.71,162394,3,0,2,11
2.58,4.52,174749,2,0,1,9
9.06,18.56,119160,0,0,1,6
7.26,8.9,69355,0,1,1,2
9.34,16.43,104349,0,0,0,2
11.09,20.55,94217,0,1,0,9
12.77,18.84,133077,2,0,0,13
7.06,9.47,111011,0,0,1,18
6.44,10.28,189249,0,1,2,3
6.64,9.94,199741,1,0,1,14
17.1,24.49,142530,1,1,1,2
6.44,9.65,190602,3,0,2,15
7.69,17.03,133680,0,0,1,16
3.72,7.06,18468,3,0,1,10
6.7,15.69,184949,0,1,0,18
13.84,19.82,163942,1,0,1,3
12.11,21.92,117415,3,1,2,11
4.22,8.82,26282,3,1,1,14
9.91,18.17,128184,0,0,0,6
16.21,23.33,168855,2,1,2,13
10.02,22.99,42286,0,0,0,16
10.91,18.15,188430,2,1,2,6
12.67,22.57,197553,3,1,2,19
14.32,15.92,10438,3,0,2,2
20.8,23.15,52576,2,0,1,6
4.67,10.33,180671,0,0,1,7
8.74,20.9,149204,0,0,0,8
16.06,22.03,5301,2,1,0,8
7.81,10.96,135676,1,1,1,4
10.31,22.38,132064,1,0,2,6
7.76,15.15,29434,2,1,1,20
8.63,14.2,76676,2,0,2,11
7.48,11.44,162123,3,0,1,16
4.81,8.88,5672,2,0,2,4
8.28,10.59,149681,2,1,2,5
12.9,15.58,66226,3,0,2,13
